code	last_date	name
CN	2020-05-16	The People's Republic of China
DE	2020-05-17	The Federal Republic of Germany
ID	2020-05-17	The Republic of Indonesia
IR	2020-05-16	The Islamic Republic of Iran
IT	2020-05-16	The Italian Republic
KH	2020-05-16	The Kingdom of Cambodia
KR	2020-05-16	The Republic of Korea
MY	2020-05-17	Malaysia
PH	2020-05-17	The Republic of the Philippines
SA	2020-05-17	The Kingdom of Saudi Arabia
TH	2020-05-17	The Kingdom of Thailand
US	2020-05-15	The United States of America
VN	2020-05-16	The Socialist Republic of Vietnam
