date	cases	recoveries	deaths
2020-02-24	16	0	0
2020-02-25	18	0	0
2020-02-26	21	0	0
2020-02-27	26	0	0
2020-02-28	53	0	0
2020-02-29	66	0	0
2020-03-01	117	0	0
2020-03-02	150	0	0
2020-03-03	188	0	0
2020-03-04	240	0	0
2020-03-05	349	0	0
2020-03-06	534	0	0
2020-03-07	684	0	0
2020-03-08	847	18	0
2020-03-09	1112	18	2
2020-03-10	1460	18	2
2020-03-11	1884	19	3
2020-03-12	2369	19	5
2020-03-13	3062	46	8
2020-03-14	3795	46	8
2020-03-15	4838	46	12
2020-03-16	6012	60	12
2020-03-17	7156	60	12
2020-03-18	8198	72	12
2020-03-19	10999	72	20
2020-03-20	13957	72	31
2020-03-21	16662	72	47
2020-03-22	18610	72	55
2020-03-23	22672	422	86
2020-03-24	27436	3290	114
2020-03-25	31554	5600	149
2020-03-26	36508	5900	198
2020-03-27	42288	7600	253
2020-03-28	48582	9600	325
2020-03-29	52547	11500	389
2020-03-30	57298	13500	455
2020-03-31	61913	16100	583
2020-04-01	67366	18700	732
2020-04-02	73522	21400	872
2020-04-03	79696	23800	1017
2020-04-04	85778	26400	1158
2020-04-05	91714	28700	1342
2020-04-06	95391	30600	1434
2020-04-07	99225	33300	1607
2020-04-08	103228	46300	1861
2020-04-09	108202	49900	2107
2020-04-10	113525	53913	2373
2020-04-11	117658	57400	2544
2020-04-12	120479	60200	2673
2020-04-13	123016	64300	2799
2020-04-14	125098	68200	2969
2020-04-15	127584	72600	3254
2020-04-16	130450	77000	3569
2020-04-17	133830	81800	3868
2020-04-18	137439	85400	4110
2020-04-19	139897	88800	4294
2020-04-20	141672	91500	4404
2020-04-21	143457	95200	4598
2020-04-22	145694	99400	4879
2020-04-23	148046	103300	5094
2020-04-24	150383	106800	5321
2020-04-25	152438	109800	5500
2020-04-26	154175	112000	5640
2020-04-27	155193	114500	5750
2020-04-28	156337	117400	5913
2020-04-29	157641	120400	6115
2020-04-30	159119	123500	6288
2020-05-01	160758	126900	6481
2020-05-02	161703	129000	6575
2020-05-03	162496	130600	6649
2020-05-04	163175	132700	6692
2020-05-05	163860	135100	6831
2020-05-06	164807	137400	6996
2020-05-07	166091	139900	7119
2020-05-08	167300	141700	7266
2020-05-09	168551	143300	7369
2020-05-10	169218	144400	7395
2020-05-11	169575	145600	7417
2020-05-12	170508	147200	7533
2020-05-13	171306	148700	7634
2020-05-14	172239	150300	7723
2020-05-15	173152	151700	7824
2020-05-16	173772	152600	7881
2020-05-17	174355	153400	7914
2020-05-18	174697	154600	7935
2020-05-19	175210	155700	8007
2020-05-20	176007	156900	8090
2020-05-21	176752	158000	8147
2020-05-22	177212	159000	8174
2020-05-23	177850	159900	8216
2020-05-24	178281	160300	8247
2020-05-25	178570	161200	8257
2020-05-26	179002	162000	8302
2020-05-27	179364	162800	8349
2020-05-28	179717	163200	8411
2020-05-29	180458	164100	8450
2020-05-30	181196	164900	8489
2020-05-31	181482	165200	8500
2020-06-01	181815	165900	8511
2020-06-02	182028	166400	8522
2020-06-03	182370	167300	8551
2020-06-04	182764	167800	8581
