date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	1	0	0
2020-03-14	1	0	0
2020-03-15	1	0	0
2020-03-16	1	0	0
2020-03-17	1	0	0
2020-03-18	1	0	0
2020-03-19	1	0	0
2020-03-20	1	0	0
2020-03-21	1	0	0
2020-03-22	1	0	0
2020-03-23	1	0	0
2020-03-24	2	0	0
2020-03-25	2	0	0
2020-03-26	2	0	0
2020-03-27	2	0	0
2020-03-28	2	0	0
2020-03-29	2	0	0
2020-03-30	2	1	0
2020-03-31	2	1	0
2020-04-01	3	1	0
2020-04-02	3	1	0
2020-04-03	3	1	0
2020-04-04	3	1	0
2020-04-05	3	1	0
2020-04-06	5	1	0
2020-04-07	8	1	0
2020-04-08	8	1	1
2020-04-09	8	1	1
2020-04-10	13	1	2
2020-04-11	13	1	2
2020-04-12	17	1	2
2020-04-13	17	2	2
2020-04-14	17	2	2
2020-04-15	18	2	2
2020-04-16	18	5	2
2020-04-17	18	5	2
2020-04-18	20	5	2
2020-04-19	20	5	2
2020-04-20	20	5	2
2020-04-21	20	5	3
2020-04-22	20	5	3
2020-04-23	31	5	3
2020-04-24	36	5	3
2020-04-25	36	5	3
2020-04-26	40	11	3
2020-04-27	40	11	3
2020-04-28	43	11	3
2020-04-29	44	14	3
2020-04-30	45	14	4
2020-05-01	45	14	4
2020-05-02	45	17	4
2020-05-03	45	17	4
2020-05-04	45	17	4
2020-05-05	45	17	4
2020-05-06	45	17	4
2020-05-07	45	17	4
2020-05-08	47	17	4
2020-05-09	53	17	4
2020-05-10	71	17	4
2020-05-11	71	17	4
2020-05-12	74	26	5
2020-05-13	82	26	5
2020-05-14	83	30	5
2020-05-15	105	30	5
2020-05-16	114	31	6
2020-05-17	114	31	7
2020-05-18	116	31	7
2020-05-19	126	31	7
2020-05-20	152	31	8
2020-05-21	180	31	11
2020-05-22	198	31	12
2020-05-23	201	32	14
2020-05-24	230	34	15
2020-05-25	239	34	18
2020-05-26	265	35	22
2020-05-27	281	36	29
2020-05-28	297	38	34
2020-05-29	306	39	35
2020-05-30	322	40	35
2020-05-31	339	51	37
2020-06-01	339	52	37
2020-06-02	354	52	37
2020-06-03	377	56	40
2020-06-04	382	62	40
2020-06-05	391	62	40
2020-06-06	470	62	43
2020-06-07	495	64	45
2020-06-08	510	73	47
2020-06-09	551	73	47
2020-06-10	546	80	50
2020-06-11	579	97	52
2020-06-12	644	97	52
