date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	8	0	0
2020-03-18	8	0	1
2020-03-19	9	0	1
2020-03-20	15	0	1
2020-03-21	26	0	1
2020-03-22	41	0	1
2020-03-23	41	0	1
2020-03-24	51	0	1
2020-03-25	51	1	1
2020-03-26	59	3	3
2020-03-27	66	8	4
2020-03-28	77	8	4
2020-03-29	90	11	7
2020-03-30	91	16	8
2020-03-31	93	16	8
2020-04-01	104	17	9
2020-04-02	104	22	11
2020-04-03	155	25	11
2020-04-04	152	29	14
2020-04-05	188	30	14
2020-04-06	189	38	14
2020-04-07	194	41	16
2020-04-08	196	46	16
2020-04-09	223	49	17
2020-04-10	256	62	22
2020-04-11	267	64	25
2020-04-12	386	68	27
2020-04-13	440	73	30
2020-04-14	475	76	41
2020-04-15	499	81	45
2020-04-16	514	86	46
2020-04-17	522	94	46
2020-04-18	555	96	49
2020-04-19	590	98	54
2020-04-20	590	98	56
2020-04-21	603	100	56
2020-04-22	638	101	58
2020-04-23	664	112	60
2020-04-24	690	128	67
2020-04-25	770	133	75
2020-04-26	785	138	87
2020-04-27	796	140	88
2020-04-28	857	144	90
2020-04-29	872	152	95
2020-04-30	958	157	96
2020-05-01	1034	162	99
2020-05-02	1037	165	106
2020-05-03	1117	174	111
2020-05-04	1124	178	117
2020-05-05	1171	180	117
2020-05-06	1221	199	123
2020-05-07	1267	206	133
2020-05-08	1284	215	138
2020-05-09	1419	227	141
2020-05-10	1502	230	143
2020-05-11	1536	244	149
2020-05-12	1669	258	155
2020-05-13	1772	274	163
2020-05-14	1863	278	167
2020-05-15	1921	294	178
2020-05-16	2105	302	183
2020-05-17	2152	312	194
2020-05-18	2296	337	209
2020-05-19	2377	375	222
2020-05-20	2496	387	228
2020-05-21	2998	403	241
2020-05-22	3129	413	256
2020-05-23	3595	426	271
2020-05-24	3663	465	283
2020-05-25	3886	489	292
2020-05-26	3943	506	301
2020-05-27	4142	522	320
