date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	1	0	0
2020-03-10	1	0	0
2020-03-11	1	0	0
2020-03-12	1	0	0
2020-03-13	4	0	1
2020-03-14	7	0	1
2020-03-15	7	0	1
2020-03-16	8	0	1
2020-03-17	13	0	1
2020-03-18	17	0	1
2020-03-19	27	0	1
2020-03-20	37	0	1
2020-03-21	43	1	2
2020-03-22	47	1	3
2020-03-23	56	1	3
2020-03-24	65	1	4
2020-03-25	67	1	4
2020-03-26	67	1	4
2020-03-27	84	1	4
2020-03-28	103	1	4
2020-03-29	106	1	4
2020-03-30	128	1	4
2020-03-31	142	2	4
2020-04-01	152	7	14
2020-04-02	164	7	14
2020-04-03	170	7	14
2020-04-04	173	7	17
2020-04-05	177	7	17
2020-04-06	187	7	17
2020-04-07	194	7	18
2020-04-08	212	7	18
2020-04-09	218	7	20
2020-04-10	243	7	21
2020-04-11	279	7	21
2020-04-12	281	7	21
2020-04-13	285	7	22
2020-04-14	280	7	22
2020-04-15	281	7	25
2020-04-16	297	7	32
2020-04-17	311	9	34
2020-04-18	321	9	34
2020-04-19	324	9	34
2020-04-20	341	17	35
2020-04-21	341	17	35
2020-04-22	337	29	35
2020-04-23	337	29	35
2020-04-24	359	33	39
2020-04-25	370	33	39
2020-04-26	370	33	39
2020-04-27	382	33	40
2020-04-28	388	33	41
2020-04-29	388	33	41
2020-04-30	404	34	41
2020-05-01	418	34	41
2020-05-02	427	34	41
2020-05-03	432	34	41
2020-05-04	446	34	41
2020-05-05	458	117	41
2020-05-06	487	122	41
2020-05-07	495	122	56
2020-05-08	505	122	56
2020-05-09	523	122	56
2020-05-10	533	122	56
2020-05-11	541	146	56
2020-05-12	559	153	56
2020-05-13	580	157	57
2020-05-14	593	158	57
2020-05-15	622	158	60
2020-05-16	626	158	61
2020-05-17	650	159	61
2020-05-18	677	162	62
2020-05-19	698	162	62
2020-05-20	699	162	62
2020-05-21	753	171	65
2020-05-22	768	172	66
2020-05-23	768	172	66
2020-05-24	789	176	66
2020-05-25	789	176	66
2020-05-26	807	178	66
2020-05-27	817	181	66
2020-05-28	831	205	66
2020-05-29	845	217	69
2020-05-30	858	244	69
2020-05-31	861	244	69
2020-06-01	867	252	69
2020-06-02	883	273	69
2020-06-03	954	273	69
2020-06-04	965	279	69
2020-06-05	989	324	70
2020-06-06	1025	365	71
2020-06-07	1035	370	71
2020-06-08	1047	372	71
2020-06-09	1061	391	72
2020-06-10	1096	401	73
2020-06-11	1121	411	75
2020-06-12	1157	417	76
2020-06-13	1231	418	79
2020-06-14	1240	440	79
2020-06-15	1243	460	79
2020-06-16	1277	485	79
2020-06-17	1309	508	79
2020-06-18	1327	535	79
2020-06-19	1331	538	79
2020-06-20	1347	569	79
2020-06-21	1355	570	79
2020-06-22	1361	570	79
2020-06-23	1373	583	79
2020-06-24	1390	590	79
