date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	1	0	0
2020-03-23	1	0	0
2020-03-24	1	0	0
2020-03-25	2	0	0
2020-03-26	1	0	0
2020-03-27	1	0	0
2020-03-28	1	0	0
2020-03-29	1	0	0
2020-03-30	5	0	0
2020-03-31	8	0	0
2020-04-01	8	0	0
2020-04-02	8	0	0
2020-04-03	8	0	0
2020-04-04	8	0	0
2020-04-05	16	0	0
2020-04-06	18	0	0
2020-04-07	18	0	0
2020-04-08	22	0	0
2020-04-09	22	0	2
2020-04-10	29	0	2
2020-04-11	29	0	2
2020-04-12	34	0	2
2020-04-13	34	0	2
2020-04-14	37	3	5
2020-04-15	49	3	6
2020-04-16	59	6	6
2020-04-17	74	6	6
2020-04-18	92	6	6
2020-04-19	96	6	6
2020-04-20	96	9	6
2020-04-21	98	9	6
2020-04-22	107	9	6
2020-04-23	114	9	6
2020-04-24	132	10	6
2020-04-25	146	10	6
2020-04-26	146	10	6
2020-04-27	150	10	6
2020-04-28	150	16	6
2020-04-29	157	20	9
2020-04-30	170	20	9
2020-05-01	179	23	9
2020-05-02	179	24	9
2020-05-03	195	24	9
2020-05-04	198	24	9
2020-05-05	212	24	9
2020-05-06	225	24	9
2020-05-07	238	24	9
2020-05-08	246	24	9
2020-05-09	253	24	9
2020-05-10	263	24	9
2020-05-11	263	24	9
2020-05-12	277	24	9
2020-05-13	291	24	9
2020-05-14	294	24	9
2020-05-15	363	24	9
2020-05-16	370	24	9
2020-05-17	372	73	36
2020-05-18	438	73	44
2020-05-19	484	73	47
2020-05-20	547	76	52
2020-05-21	557	76	54
2020-05-22	572	77	57
2020-05-23	590	77	58
2020-05-24	599	77	59
2020-05-25	602	80	61
2020-05-26	630	80	63
2020-05-27	703	80	71
2020-05-28	819	80	71
2020-05-29	893	82	72
