date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	1	0	0
2020-03-27	1	0	0
2020-03-28	2	0	0
2020-03-29	2	0	0
2020-03-30	3	0	0
2020-03-31	3	0	0
2020-04-01	2	0	0
2020-04-02	2	0	0
2020-04-03	4	0	0
2020-04-04	4	0	0
2020-04-05	4	0	0
2020-04-06	4	0	0
2020-04-07	5	0	2
2020-04-08	5	0	2
2020-04-09	5	0	2
2020-04-10	14	0	2
2020-04-11	19	0	2
2020-04-12	19	2	2
2020-04-13	19	2	2
2020-04-14	19	2	3
2020-04-15	22	2	3
2020-04-16	22	2	3
2020-04-17	24	2	3
2020-04-18	24	2	3
2020-04-19	27	2	3
2020-04-20	27	2	3
2020-04-21	27	3	3
2020-04-22	29	3	3
2020-04-23	29	3	3
2020-04-24	32	3	3
2020-04-25	36	3	3
2020-04-26	36	3	3
2020-04-27	36	3	3
2020-04-28	42	8	3
2020-04-29	47	8	3
2020-04-30	47	8	3
2020-05-01	48	11	3
2020-05-02	59	11	3
2020-05-03	59	11	3
2020-05-04	59	11	3
2020-05-05	70	12	3
2020-05-06	70	12	3
2020-05-07	75	12	3
2020-05-08	75	12	3
2020-05-09	75	12	3
2020-05-10	83	12	3
2020-05-11	83	13	3
2020-05-12	95	13	3
2020-05-13	101	20	3
2020-05-14	111	21	4
2020-05-15	112	21	4
2020-05-16	113	22	4
2020-05-17	115	24	4
2020-05-18	115	26	4
2020-05-19	115	26	4
2020-05-20	115	26	4
2020-05-21	117	37	4
2020-05-22	117	37	4
2020-05-23	121	37	4
2020-05-24	121	46	4
2020-05-25	121	46	4
2020-05-26	121	48	4
2020-05-27	121	50	4
2020-05-28	126	52	4
2020-05-29	126	52	4
2020-05-30	126	52	4
2020-05-31	128	61	4
2020-06-01	128	61	4
2020-06-02	128	61	4
2020-06-03	129	64	4
2020-06-04	129	70	4
2020-06-05	136	78	4
2020-06-06	139	86	4
2020-06-07	159	93	4
2020-06-08	159	93	4
2020-06-09	159	93	4
2020-06-10	159	94	4
2020-06-11	159	95	4
2020-06-12	159	95	4
