date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	1	0	0
2020-03-11	1	0	1
2020-03-12	1	0	1
2020-03-13	1	0	1
2020-03-14	1	0	1
2020-03-15	1	0	1
2020-03-16	1	0	1
2020-03-17	1	0	1
2020-03-18	1	0	1
2020-03-19	1	0	1
2020-03-20	4	0	1
2020-03-21	3	0	1
2020-03-22	3	0	2
2020-03-23	6	0	2
2020-03-24	6	0	2
2020-03-25	9	0	2
2020-03-26	9	0	2
2020-03-27	9	0	2
2020-03-28	9	0	2
2020-03-29	10	0	2
2020-03-30	19	0	2
2020-03-31	19	0	2
2020-04-01	25	10	2
2020-04-02	25	10	2
2020-04-03	27	10	2
2020-04-04	32	10	2
2020-04-05	35	18	2
2020-04-06	43	18	2
2020-04-07	43	18	2
2020-04-08	49	18	2
2020-04-09	63	18	2
2020-04-10	75	19	2
2020-04-11	79	19	2
2020-04-12	81	19	2
2020-04-13	86	20	2
2020-04-14	92	21	2
2020-04-15	98	23	2
2020-04-16	113	32	2
2020-04-17	124	36	2
2020-04-18	131	36	3
2020-04-19	135	38	3
2020-04-20	140	42	3
2020-04-21	150	42	3
2020-04-22	152	47	4
2020-04-23	167	55	4
2020-04-24	177	55	4
2020-04-25	183	70	4
2020-04-26	186	75	4
2020-04-27	194	81	4
2020-04-28	215	88	4
2020-04-29	215	96	4
2020-04-30	222	113	4
2020-05-01	235	121	4
2020-05-02	237	129	4
2020-05-03	262	151	4
2020-05-04	271	159	4
2020-05-05	277	160	4
2020-05-06	277	166	4
2020-05-07	287	183	4
2020-05-08	300	195	4
2020-05-09	306	197	4
2020-05-10	311	204	4
2020-05-11	314	210	4
2020-05-12	328	215	4
2020-05-13	332	220	4
2020-05-14	337	223	4
2020-05-15	343	232	4
2020-05-16	346	243	4
2020-05-17	348	250	4
2020-05-18	359	257	4
2020-05-19	363	267	4
2020-05-20	371	276	4
2020-05-21	374	280	4
2020-05-22	380	284	4
2020-05-23	388	287	4
2020-05-24	394	293	4
2020-05-25	396	295	4
2020-05-26	407	295	4
2020-05-27	415	302	4
2020-05-28	420	314	4
2020-05-29	443	320	4
