date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	1	0	0
2020-03-25	2	0	0
2020-03-26	2	0	0
2020-03-27	2	0	0
2020-03-28	2	0	0
2020-03-29	2	0	0
2020-03-30	2	0	0
2020-03-31	4	0	0
2020-04-01	6	0	0
2020-04-02	6	0	0
2020-04-03	7	2	0
2020-04-04	7	0	0
2020-04-05	7	0	0
2020-04-06	10	0	0
2020-04-07	10	0	0
2020-04-08	10	0	0
2020-04-09	16	2	0
2020-04-10	25	2	0
2020-04-11	27	2	2
2020-04-12	37	2	2
2020-04-13	37	2	2
2020-04-14	37	2	2
2020-04-15	37	2	2
2020-04-16	45	2	2
2020-04-17	51	2	2
2020-04-18	55	2	2
2020-04-19	61	11	3
2020-04-20	72	11	4
2020-04-21	93	11	4
2020-04-22	108	11	4
2020-04-23	115	13	4
2020-04-24	153	15	4
2020-04-25	180	20	4
2020-04-26	195	20	4
2020-04-27	206	22	4
2020-04-28	221	24	4
2020-04-29	230	24	4
2020-04-30	230	31	4
2020-05-01	233	31	4
2020-05-02	250	32	4
2020-05-03	269	36	4
2020-05-04	269	36	4
2020-05-05	285	46	4
2020-05-06	289	53	5
2020-05-07	300	57	5
2020-05-08	312	80	5
2020-05-09	330	87	6
2020-05-10	330	92	6
2020-05-11	331	105	6
2020-05-12	339	105	6
2020-05-13	344	114	7
2020-05-14	350	138	7
2020-05-15	358	188	7
2020-05-16	365	188	7
2020-05-17	371	200	7
2020-05-18	375	213	7
2020-05-19	375	213	7
2020-05-20	393	213	7
2020-05-21	410	217	7
2020-05-22	464	220	7
2020-05-23	474	227	8
2020-05-24	478	227	8
2020-05-25	478	258	8
2020-05-26	488	258	8
2020-05-27	537	272	9
2020-05-28	562	273	10
2020-05-29	590	276	10
