date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	2	0	0
2020-03-29	2	0	0
2020-03-30	2	0	0
2020-03-31	2	0	0
2020-04-01	2	0	0
2020-04-02	2	0	0
2020-04-03	8	0	0
2020-04-04	8	0	0
2020-04-05	8	0	0
2020-04-06	15	0	0
2020-04-07	15	0	0
2020-04-08	16	0	0
2020-04-09	16	0	0
2020-04-10	16	0	0
2020-04-11	16	0	1
2020-04-12	16	0	1
2020-04-13	16	0	1
2020-04-14	16	0	1
2020-04-15	20	1	1
2020-04-16	28	2	1
2020-04-17	47	2	1
2020-04-18	50	2	1
2020-04-19	69	2	1
2020-04-20	74	2	1
2020-04-21	77	2	1
2020-04-22	77	2	1
2020-04-23	77	2	1
2020-04-24	77	2	1
2020-04-25	83	2	1
2020-04-26	89	2	1
2020-04-27	90	2	1
2020-04-28	92	2	1
2020-04-29	92	2	1
2020-04-30	100	4	1
2020-05-01	115	5	1
2020-05-02	122	5	1
2020-05-03	122	5	1
2020-05-04	130	5	1
2020-05-05	131	6	1
2020-05-06	131	6	1
2020-05-07	131	6	1
2020-05-08	131	6	1
2020-05-09	131	6	1
2020-05-10	131	7	1
2020-05-11	132	7	1
2020-05-12	132	7	1
2020-05-13	138	14	1
2020-05-14	138	20	1
2020-05-15	141	23	1
2020-05-16	153	29	1
2020-05-17	155	41	1
2020-05-18	155	41	1
2020-05-19	160	51	1
2020-05-20	160	51	1
2020-05-21	162	51	1
2020-05-22	163	57	1
2020-05-23	163	57	1
2020-05-24	164	59	1
2020-05-25	164	67	1
2020-05-26	164	68	1
2020-05-27	165	69	2
2020-05-28	165	69	2
2020-05-29	165	72	2
2020-05-30	165	72	2
2020-05-31	165	72	2
2020-06-01	165	80	2
2020-06-02	165	81	2
2020-06-03	165	82	2
2020-06-04	165	90	2
2020-06-05	167	95	2
2020-06-06	168	107	2
2020-06-07	169	109	2
2020-06-08	169	129	2
2020-06-09	170	130	2
2020-06-10	170	133	2
2020-06-11	170	135	2
2020-06-12	170	135	2
2020-06-13	170	136	2
2020-06-14	170	137	2
2020-06-15	170	137	2
2020-06-16	171	137	2
2020-06-17	171	145	2
2020-06-18	171	146	2
2020-06-19	173	149	2
2020-06-20	175	149	2
2020-06-21	176	149	2
2020-06-22	177	149	2
2020-06-23	177	149	2
2020-06-24	179	151	2
