date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	1	0	0
2020-03-19	1	0	0
2020-03-20	1	0	0
2020-03-21	1	0	0
2020-03-22	1	0	0
2020-03-23	1	0	0
2020-03-24	1	0	0
2020-03-25	1	0	0
2020-03-26	3	0	0
2020-03-27	4	0	0
2020-03-28	4	0	0
2020-03-29	4	0	0
2020-03-30	8	0	0
2020-03-31	8	0	0
2020-04-01	8	0	0
2020-04-02	8	0	1
2020-04-03	12	0	1
2020-04-04	11	0	1
2020-04-05	11	0	1
2020-04-06	12	0	1
2020-04-07	12	0	1
2020-04-08	15	0	1
2020-04-09	15	1	1
2020-04-10	20	1	1
2020-04-11	20	1	1
2020-04-12	20	1	1
2020-04-13	21	1	4
2020-04-14	21	1	5
2020-04-15	20	1	5
2020-04-16	25	8	5
2020-04-17	26	10	5
2020-04-18	26	10	5
2020-04-19	26	10	5
2020-04-20	26	10	5
2020-04-21	27	10	5
2020-04-22	27	10	5
2020-04-23	38	10	5
2020-04-24	38	10	5
2020-04-25	38	10	5
2020-04-26	42	10	5
2020-04-27	42	10	5
2020-04-28	44	10	5
2020-04-29	46	11	5
2020-04-30	46	13	5
2020-05-01	50	13	5
2020-05-02	50	13	5
2020-05-03	50	17	5
2020-05-04	54	17	5
2020-05-05	55	17	5
2020-05-06	63	18	5
2020-05-07	63	18	5
2020-05-08	66	18	5
2020-05-09	66	21	5
2020-05-10	66	21	5
2020-05-11	66	22	5
2020-05-12	66	22	5
2020-05-13	66	22	5
2020-05-14	66	22	5
2020-05-15	66	22	5
2020-05-16	66	26	5
2020-05-17	67	26	5
2020-05-18	83	26	6
2020-05-19	84	26	6
2020-05-20	85	29	6
2020-05-21	101	31	6
2020-05-22	105	34	7
2020-05-23	105	36	7
2020-05-24	109	38	7
2020-05-25	116	40	7
2020-05-26	116	44	8
2020-05-27	118	48	10
2020-05-28	118	48	10
2020-05-29	131	55	10
