date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	3	0	0
2020-03-20	3	0	0
2020-03-21	3	0	0
2020-03-22	3	0	0
2020-03-23	3	0	0
2020-03-24	3	0	0
2020-03-25	3	0	0
2020-03-26	3	0	0
2020-03-27	3	0	0
2020-03-28	3	0	0
2020-03-29	3	0	0
2020-03-30	3	0	0
2020-03-31	3	0	0
2020-04-01	3	0	0
2020-04-02	3	0	0
2020-04-03	6	0	0
2020-04-04	5	1	0
2020-04-05	6	1	0
2020-04-06	7	1	0
2020-04-07	7	1	0
2020-04-08	11	1	0
2020-04-09	15	1	0
2020-04-10	15	1	0
2020-04-11	16	1	1
2020-04-12	16	1	1
2020-04-13	16	1	1
2020-04-14	16	1	1
2020-04-15	24	1	1
2020-04-16	26	4	1
2020-04-17	27	4	1
2020-04-18	28	4	2
2020-04-19	37	4	2
2020-04-20	37	4	2
2020-04-21	37	4	2
2020-04-22	37	4	2
2020-04-23	37	4	2
2020-04-24	41	5	2
2020-04-25	41	5	2
2020-04-26	45	6	2
2020-04-27	45	6	2
2020-04-28	45	6	2
2020-04-29	53	7	2
2020-04-30	62	10	2
2020-05-01	62	11	2
2020-05-02	64	11	2
2020-05-03	64	11	2
2020-05-04	64	11	2
2020-05-05	69	15	2
2020-05-06	69	15	2
2020-05-07	69	15	2
2020-05-08	70	15	2
2020-05-09	71	15	2
2020-05-10	76	16	2
2020-05-11	76	16	2
2020-05-12	76	16	2
2020-05-13	167	17	3
2020-05-14	166	17	3
2020-05-15	183	24	5
2020-05-16	189	24	5
2020-05-17	191	24	5
2020-05-18	191	24	5
2020-05-19	202	25	5
2020-05-20	202	25	5
2020-05-21	202	25	5
2020-05-22	211	30	4
2020-05-23	215	51	4
2020-05-24	215	51	4
2020-05-25	215	51	4
2020-05-26	215	100	4
2020-05-27	226	110	4
2020-05-28	240	110	4
2020-05-29	241	113	4
