date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	2	0	0
2020-03-23	2	0	0
2020-03-24	3	0	0
2020-03-25	3	0	0
2020-03-26	7	0	0
2020-03-27	7	0	0
2020-03-28	7	0	0
2020-03-29	9	0	0
2020-03-30	9	0	0
2020-03-31	10	0	0
2020-04-01	10	2	0
2020-04-02	10	2	0
2020-04-03	16	3	0
2020-04-04	18	3	1
2020-04-05	26	3	1
2020-04-06	26	3	2
2020-04-07	26	3	2
2020-04-08	38	3	2
2020-04-09	38	3	2
2020-04-10	38	3	2
2020-04-11	62	3	2
2020-04-12	63	5	3
2020-04-13	68	5	3
2020-04-14	68	5	3
2020-04-15	75	5	3
2020-04-16	80	15	6
2020-04-17	89	15	6
2020-04-18	95	18	6
2020-04-19	107	18	6
2020-04-20	107	28	6
2020-04-21	118	28	6
2020-04-22	123	28	6
2020-04-23	130	32	6
2020-04-24	136	32	6
2020-04-25	136	32	6
2020-04-26	141	32	6
2020-04-27	151	32	6
2020-04-28	177	47	6
2020-04-29	189	47	6
2020-04-30	205	47	6
2020-05-01	210	48	6
2020-05-02	240	48	6
2020-05-03	240	48	6
2020-05-04	240	48	6
2020-05-05	247	48	6
2020-05-06	248	48	6
2020-05-07	252	48	6
2020-05-08	265	48	6
2020-05-09	277	48	6
2020-05-10	308	48	6
2020-05-11	308	48	6
2020-05-12	322	48	6
2020-05-13	328	48	6
2020-05-14	332	48	6
2020-05-15	335	48	6
2020-05-16	350	48	6
2020-05-17	383	48	6
2020-05-18	383	48	6
2020-05-19	389	48	6
2020-05-20	409	48	6
2020-05-21	410	48	6
2020-05-22	437	48	6
2020-05-23	494	48	6
2020-05-24	556	48	6
2020-05-25	567	68	6
2020-05-26	567	68	6
2020-05-27	581	68	6
2020-05-28	584	68	6
2020-05-29	640	68	6
