date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	1	0	0
2020-03-19	3	0	0
2020-03-20	10	0	0
2020-03-21	9	0	0
2020-03-22	9	0	0
2020-03-23	11	0	0
2020-03-24	11	0	0
2020-03-25	11	0	0
2020-03-26	11	0	0
2020-03-27	11	0	0
2020-03-28	17	0	0
2020-03-29	17	0	0
2020-03-30	17	0	0
2020-03-31	20	0	0
2020-04-01	21	0	1
2020-04-02	21	0	1
2020-04-03	22	0	1
2020-04-04	24	1	1
2020-04-05	30	1	1
2020-04-06	31	1	1
2020-04-07	31	1	1
2020-04-08	32	4	1
2020-04-09	32	6	1
2020-04-10	35	6	1
2020-04-11	35	6	1
2020-04-12	35	6	1
2020-04-13	35	6	1
2020-04-14	35	6	1
2020-04-15	35	6	1
2020-04-16	44	10	1
2020-04-17	44	10	1
2020-04-18	54	11	1
2020-04-19	59	11	1
2020-04-20	63	11	1
2020-04-21	68	11	1
2020-04-22	69	11	1
2020-04-23	74	11	1
2020-04-24	85	11	1
2020-04-25	97	11	1
2020-04-26	105	11	1
2020-04-27	107	12	1
2020-04-28	115	12	1
2020-04-29	119	12	1
2020-04-30	134	12	1
2020-05-01	136	13	1
2020-05-02	154	13	1
2020-05-03	162	13	1
2020-05-04	167	13	1
2020-05-05	168	13	2
2020-05-06	182	13	2
2020-05-07	182	13	2
2020-05-08	209	13	2
2020-05-09	214	31	2
2020-05-10	218	34	2
2020-05-11	225	37	2
2020-05-12	228	41	3
2020-05-13	230	46	3
2020-05-14	238	57	3
2020-05-15	251	61	3
2020-05-16	253	63	3
2020-05-17	254	66	3
2020-05-18	255	76	3
2020-05-19	258	81	3
2020-05-20	264	85	3
2020-05-21	266	96	3
2020-05-22	271	102	3
2020-05-23	274	105	3
2020-05-24	276	105	3
2020-05-25	276	117	3
2020-05-26	277	123	3
2020-05-27	380	128	3
2020-05-28	281	134	3
2020-05-29	285	143	3
