date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	1	0	0
2020-03-14	1	0	0
2020-03-15	1	0	0
2020-03-16	1	0	0
2020-03-17	2	0	0
2020-03-18	2	0	0
2020-03-19	2	0	0
2020-03-20	2	0	0
2020-03-21	2	0	0
2020-03-22	2	0	0
2020-03-23	2	0	0
2020-03-24	3	0	0
2020-03-25	3	0	0
2020-03-26	3	0	0
2020-03-27	3	0	0
2020-03-28	3	0	0
2020-03-29	8	0	0
2020-03-30	9	0	0
2020-03-31	9	2	2
2020-04-01	10	2	2
2020-04-02	10	2	2
2020-04-03	10	2	2
2020-04-04	10	2	2
2020-04-05	10	2	2
2020-04-06	12	2	2
2020-04-07	10	3	2
2020-04-08	10	3	2
2020-04-09	10	3	2
2020-04-10	10	3	2
2020-04-11	10	3	2
2020-04-12	13	3	3
2020-04-13	13	3	3
2020-04-14	13	5	3
2020-04-15	13	5	3
2020-04-16	21	5	3
2020-04-17	21	5	3
2020-04-18	21	5	3
2020-04-19	21	6	3
2020-04-20	21	6	3
2020-04-21	27	7	3
2020-04-22	31	7	3
2020-04-23	50	7	3
2020-04-24	50	7	3
2020-04-25	51	7	3
2020-04-26	51	7	3
2020-04-27	51	7	3
2020-04-28	51	7	3
2020-04-29	58	7	3
2020-04-30	58	7	3
2020-05-01	61	8	3
2020-05-02	68	8	3
2020-05-03	70	8	3
2020-05-04	73	8	3
2020-05-05	73	8	3
2020-05-06	90	8	3
2020-05-07	95	11	3
2020-05-08	95	12	3
2020-05-09	118	12	3
2020-05-10	120	12	3
2020-05-11	120	12	3
2020-05-12	123	20	3
2020-05-13	129	22	3
2020-05-14	129	22	3
2020-05-15	129	22	3
2020-05-16	131	22	3
2020-05-17	132	24	4
2020-05-18	132	32	4
2020-05-19	132	32	4
2020-05-20	132	32	4
2020-05-21	133	36	4
2020-05-22	140	38	4
2020-05-23	168	38	4
2020-05-24	168	38	4
2020-05-25	175	43	4
2020-05-26	176	44	4
2020-05-27	183	44	4
2020-05-28	184	44	4
2020-05-29	184	47	4
2020-05-30	184	47	4
2020-05-31	189	53	4
2020-06-01	196	55	4
2020-06-02	196	55	4
2020-06-03	202	79	4
2020-06-04	202	94	4
2020-06-05	205	109	4
2020-06-06	210	114	4
2020-06-07	210	114	4
2020-06-08	210	117	4
2020-06-09	234	117	4
2020-06-10	245	138	4
2020-06-11	245	145	4
2020-06-12	267	146	4
2020-06-13	267	150	4
2020-06-14	268	159	4
2020-06-15	268	160	4
2020-06-16	270	167	4
2020-06-17	282	167	4
2020-06-18	282	173	4
2020-06-19	296	186	4
2020-06-20	298	195	4
2020-06-21	298	216	4
2020-06-22	298	219	4
2020-06-23	313	223	4
2020-06-24	313	228	4
2020-06-25	313	235	4
2020-06-26	313	241	4
2020-06-27	321	251	4
2020-06-28	321	259	4
2020-06-29	321	263	4
2020-06-30	321	268	4
2020-07-01	336	271	4
2020-07-02	336	271	4
2020-07-03	336	277	4
2020-07-04	336	281	4
2020-07-05	339	300	4
2020-07-06	339	300	4
2020-07-07	344	305	4
2020-07-08	344	306	4
2020-07-09	347	308	4
2020-07-10	347	308	4
2020-07-11	347	315	4
2020-07-12	350	327	4
2020-07-13	355	328	4
2020-07-14	355	341	4
2020-07-15	355	341	4
2020-07-16	359	341	4
2020-07-17	359	341	4
2020-07-18	359	347	4
2020-07-19	359	351	4
2020-07-20	359	351	4
2020-07-21	359	351	4
2020-07-22	359	355	4
2020-07-23	359	355	4
2020-07-24	359	355	4
2020-07-25	365	355	4
2020-07-27	365	355	4
2020-07-28	365	355	4
2020-07-30	381	355	4
2020-07-31	387	355	4
2020-08-02	387	355	4
2020-08-03	387	355	4
2020-08-04	387	371	4
2020-08-05	387	371	4
2020-08-06	394	371	4
2020-08-07	397	374	4
2020-08-09	397	374	4
2020-08-10	416	380	4
2020-08-11	420	380	4
2020-08-12	429	380	4
2020-08-14	444	399	4
2020-08-15	444	399	4
2020-08-16	447	407	4
2020-08-17	447	407	4
2020-08-18	452	409	4
2020-08-19	456	410	4
2020-08-20	471	424	4
2020-08-21	500	424	4
2020-08-22	533	429	4
2020-08-23	566	448	4
2020-08-24	578	448	4
2020-08-25	605	448	4
2020-08-26	605	468	4
2020-08-29	627	540	4
2020-08-30	645	540	5
2020-08-31	645	557	5
2020-09-01	653	557	5
2020-09-02	659	578	5
2020-09-03	674	588	5
2020-09-04	685	600	5
2020-09-05	691	614	6
2020-09-06	691	614	6
2020-09-07	704	614	6
2020-09-08	711	619	6
2020-09-10	723	621	6
2020-09-11	723	621	6
2020-09-12	747	647	6
2020-09-13	754	649	6
