date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	1	0	0
2020-03-14	1	0	0
2020-03-15	1	0	0
2020-03-16	1	0	0
2020-03-17	2	0	0
2020-03-18	2	0	0
2020-03-19	2	0	0
2020-03-20	2	0	0
2020-03-21	2	0	0
2020-03-22	2	0	0
2020-03-23	2	0	0
2020-03-24	3	0	0
2020-03-25	3	0	0
2020-03-26	3	0	0
2020-03-27	3	0	0
2020-03-28	3	0	0
2020-03-29	8	0	0
2020-03-30	9	0	0
2020-03-31	9	2	2
2020-04-01	10	2	2
2020-04-02	10	2	2
2020-04-03	10	2	2
2020-04-04	10	2	2
2020-04-05	10	2	2
2020-04-06	12	2	2
2020-04-07	10	3	2
2020-04-08	10	3	2
2020-04-09	10	3	2
2020-04-10	10	3	2
2020-04-11	10	3	2
2020-04-12	13	3	3
2020-04-13	13	3	3
2020-04-14	13	5	3
2020-04-15	13	5	3
2020-04-16	21	5	3
2020-04-17	21	5	3
2020-04-18	21	5	3
2020-04-19	21	6	3
2020-04-20	21	6	3
2020-04-21	27	7	3
2020-04-22	31	7	3
2020-04-23	50	7	3
2020-04-24	50	7	3
2020-04-25	51	7	3
2020-04-26	51	7	3
2020-04-27	51	7	3
2020-04-28	51	7	3
2020-04-29	58	7	3
2020-04-30	58	7	3
2020-05-01	61	8	3
2020-05-02	68	8	3
2020-05-03	70	8	3
2020-05-04	73	8	3
2020-05-05	73	8	3
2020-05-06	90	8	3
2020-05-07	95	11	3
2020-05-08	95	12	3
2020-05-09	118	12	3
2020-05-10	120	12	3
2020-05-11	120	12	3
2020-05-12	123	20	3
2020-05-13	129	22	3
2020-05-14	129	22	3
2020-05-15	129	22	3
2020-05-16	131	22	3
2020-05-17	132	24	4
2020-05-18	132	32	4
2020-05-19	132	32	4
2020-05-20	132	32	4
2020-05-21	133	36	4
2020-05-22	140	38	4
2020-05-23	168	38	4
2020-05-24	168	38	4
2020-05-25	175	43	4
2020-05-26	176	44	4
2020-05-27	183	44	4
2020-05-28	184	44	4
2020-05-29	184	47	4
